DDBJ/ENA/GenBank Accession	Environment	Genome Size	Genome_Quality	Completeness	GC	SRA	Study Title	Study Attribute
DFNH00000000	Sediment	2033475	Near complete	98.41	59.38367621	SRX742691	Deep igneous marine biosphere Metagenome	label: 1301_1a1b || collection_date: 2008-08-10 || depth: 275 - 287 || elev: -2667 || env_biome: marine || env_feature: borehole || env_material: sediment || geo_loc_name: Pacific Ocean || lat_lon: 47.753500 N 127.763883 W || alkalinity_microEquivalentPer
DFNG00000000	Sediment	2991232	Near complete	94.67	39.51928898	SRX742691	Deep igneous marine biosphere Metagenome	label: 1301_1a1b || collection_date: 2008-08-10 || depth: 275 - 287 || elev: -2667 || env_biome: marine || env_feature: borehole || env_material: sediment || geo_loc_name: Pacific Ocean || lat_lon: 47.753500 N 127.763883 W || alkalinity_microEquivalentPer
DFNE00000000	Sediment	2468025	Near complete	92.54	55.76562354	SRX742691	Deep igneous marine biosphere Metagenome	label: 1301_1a1b || collection_date: 2008-08-10 || depth: 275 - 287 || elev: -2667 || env_biome: marine || env_feature: borehole || env_material: sediment || geo_loc_name: Pacific Ocean || lat_lon: 47.753500 N 127.763883 W || alkalinity_microEquivalentPer
DFND00000000	Sediment	1991268	Medium	79.24	62.86396904	SRX742691	Deep igneous marine biosphere Metagenome	label: 1301_1a1b || collection_date: 2008-08-10 || depth: 275 - 287 || elev: -2667 || env_biome: marine || env_feature: borehole || env_material: sediment || geo_loc_name: Pacific Ocean || lat_lon: 47.753500 N 127.763883 W || alkalinity_microEquivalentPer
DFMW00000000	Terrestial	2388284	Medium	89.12	32.07775636	SRX218560	F1RT Metagenome	environmental package: MIGS/MIMS/MIMARKS.soil || comment: soil cellulolytic consortium || investigation type: metagenome || biome: konjac || collection date: 20-Apr-2009 || feature: plowland || geographic location: China: Shixing country; Shaoguan city; G
DFKT00000000	Gut	1944913	Medium	81	47.11757041	SRX290713	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: high methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DFKC00000000	Gut	2575031	Near complete	96.8	36.18924554	SRX290712	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: low methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DFIW00000000	Gut	2378884	Near complete	95.48	52.13298434	SRX290711	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: low methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DFIJ00000000	Gut	1791480	Medium	83.23	32.84795196	SRX290711	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: low methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DFHP00000000	Gut	2705521	Near complete	94.89	46.68071513	SRX290710	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: low methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DFHJ00000000	Gut	2043890	Medium	89.89	44.09992828	SRX290710	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: low methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DFHH00000000	Gut	1911382	Near complete	91.24	38.08370705	SRX290710	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: low methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DFGY00000000	Gut	2025041	Near complete	92.53	45.70698921	SRX290710	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: low methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DFEY00000000	Gut	1618155	Near complete	95.81	36.65570361	SRX290714	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: high methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DFEX00000000	Gut	2576817	Medium	80.81	49.16938935	SRX290714	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: high methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DFET00000000	Gut	2106399	Near complete	90.02	38.3854083	SRX290714	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: high methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DFES00000000	Gut	2217855	Near complete	90.9	52.56662481	SRX290714	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: high methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DFDZ00000000	Gut	2503404	Near complete	95.72	45.16567873	SRX290719	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: high methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DGIB00000000	Gut	1617334	Near complete	95.81	36.65674928	SRX290718	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: high methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DGHI00000000	Gut	1892605	Near complete	96.02	39.7000854	SRX290718	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: high methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DGHB00000000	Gut	1565207	Partial	68.56	49.169404	SRX290718	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: high methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DGGP00000000	Gut	1479472	Partial	56.38	47.73949778	SRX290718	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: high methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DGGJ00000000	Built Environment	1733837	Near complete	94.51	39.01541663	SRX822743	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 29-Jul-2013 || env_biome: city || env_feature: subway || env_material: wood || geo_loc_name: USA:New York City || lat_lon: 40.75 N 73.98 W || isolate: P00777 || BioSampleModel: Metagenome or environmental
DGFN00000000	Bioreactor	2084840	Near complete	91.27	59.44323451	ERX1109759	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGFL00000000	Bioreactor	1569359	Partial	69.23	49.79100239	ERX1109759	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGFK00000000	Bioreactor	1206200	Partial	54.85	54.12093546	ERX1109759	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGFI00000000	Bioreactor	1892058	Near complete	91.5	56.11630383	ERX1109759	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGFG00000000	Bioreactor	1898868	Medium	84.59	40.83345593	ERX1109759	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGFF00000000	Bioreactor	1729345	Medium	82.34	45.07465955	ERX1109759	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGFD00000000	Bioreactor	1887242	Medium	73.08	42.20579178	ERX1109759	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGFC00000000	Bioreactor	1947816	Medium	77.92	52.39835522	ERX1109759	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGEY00000000	Bioreactor	2148102	Near complete	93.76	59.3762003	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGEX00000000	Bioreactor	1173221	Partial	55.13	49.69268339	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGEU00000000	Bioreactor	2236498	Medium	87.02	53.72430527	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGET00000000	Bioreactor	2433245	Near complete	92.16	53.55569367	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGES00000000	Bioreactor	1827677	Near complete	92.49	34.50418459	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGER00000000	Bioreactor	1821767	Medium	74.44	42.29989181	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGEP00000000	Bioreactor	1896637	Medium	88.6	56.20309728	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGEN00000000	Bioreactor	1731728	Medium	89.27	53.36125156	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGEM00000000	Bioreactor	1309972	Partial	51.75	45.09293343	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGEK00000000	Bioreactor	2153276	Near complete	91.82	48.86343261	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGEI00000000	Bioreactor	1988224	Medium	86.06	42.72676507	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGEH00000000	Bioreactor	3019212	Near complete	96.97	34.1066709	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGEG00000000	Bioreactor	1892081	Medium	82.33	46.6921125	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGEC00000000	Bioreactor	2017191	Medium	89.34	49.41230857	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGEB00000000	Bioreactor	1713443	Near complete	90.71	48.82490005	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGDX00000000	Bioreactor	2093111	Medium	78.97	42.43763156	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGDW00000000	Bioreactor	1695219	Partial	64.06	41.37036288	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGDV00000000	Bioreactor	2180608	Near complete	90.18	52.34001199	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGDU00000000	Bioreactor	1719977	Near complete	94.54	50.86137624	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGDR00000000	Bioreactor	3184899	Medium	90.9	34.33346498	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGDN00000000	Bioreactor	2137398	Medium	84.79	57.3185949	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGDM00000000	Bioreactor	1690765	Medium	87.07	40.46629856	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGDJ00000000	Bioreactor	2115683	Medium	75.32	49.92958263	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DGDI00000000	Bioreactor	2163995	Near complete	93.44	63.52179306	ERX1109758	The Illumina HiSeq 2000 platform was used to sequence two metagenomes from two Danish biogas plants.	None
DFZT00000000	Bioreactor	1826274	Medium	85.03	46.43821385	SRX211001	Hydrocarbon Metagenome	env_package: MIGS/MIMS/MIMARKS.wastewater || investigation_type: metagenome || biome: Tailling pond || collection_date: 2011-07-21 || feature: Tailings Pond || geo_loc_name: Syncrude tailings pond, Wood Buffalo, Alberta, Canada || lat_lon: 57.02, -111.55 
DFZP00000000	Bioreactor	1239205	Partial	58.32	47.16511373	SRX211001	Hydrocarbon Metagenome	env_package: MIGS/MIMS/MIMARKS.wastewater || investigation_type: metagenome || biome: Tailling pond || collection_date: 2011-07-21 || feature: Tailings Pond || geo_loc_name: Syncrude tailings pond, Wood Buffalo, Alberta, Canada || lat_lon: 57.02, -111.55 
DFZH00000000	Bioreactor	1821097	Medium	84.18	42.41183594	SRX211001	Hydrocarbon Metagenome	env_package: MIGS/MIMS/MIMARKS.wastewater || investigation_type: metagenome || biome: Tailling pond || collection_date: 2011-07-21 || feature: Tailings Pond || geo_loc_name: Syncrude tailings pond, Wood Buffalo, Alberta, Canada || lat_lon: 57.02, -111.55 
DFYD00000000	Bioreactor	1791414	Near complete	91.6	42.45639307	SRX211001	Hydrocarbon Metagenome	env_package: MIGS/MIMS/MIMARKS.wastewater || investigation_type: metagenome || biome: Tailling pond || collection_date: 2011-07-21 || feature: Tailings Pond || geo_loc_name: Syncrude tailings pond, Wood Buffalo, Alberta, Canada || lat_lon: 57.02, -111.55 
DFTD00000000	Gut	1454592	Partial	51.72	53.67563795	SRX290705	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: low methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DGWS00000000	Gut	1544238	Partial	65.27	52.96422096	SRX290706	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: low methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DGWE00000000	Gut	1317984	Partial	57.56	53.82827542	SRX290706	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: low methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DGVZ00000000	Gut	1753258	Medium	87.96	38.08775094	SRX290706	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: low methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DGTG00000000	Gut	2992003	Medium	89.67	32.00582422	SRX290708	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: low methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DGSQ00000000	Gut	1880346	Medium	76.73	60.04647782	SRX290709	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: low methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DGSJ00000000	Gut	704530	Partial	61.4	36.2352784	SRX290709	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: low methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DGRV00000000	Gut	2988944	Near complete	91.14	58.88446028	SRX290709	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: low methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DGRS00000000	Gut	2437087	Near complete	95.25	49.56337086	SRX290709	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: low methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DGRE00000000	Built Environment	4500952	Near complete	98.73	44.9259314	SRX822757	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 29-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal/plastic || geo_loc_name: USA:New York City || lat_lon: 40.83 N 73.93 W || isolate: P00791 || BioSampleModel: Metagenome or environmental
DGKZ00000000	Built Environment	4119244	Near complete	97.67	35.46615385	SRX822533	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 26-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.69 N 73.91 W || isolate: P00566 || BioSampleModel: Metagenome or environmental
DGJJ00000000	Built Environment	4234627	Near complete	98.37	35.48195568	SRX822221	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 16-Jul-2013 || env_biome: city || env_feature: subway || env_material: wood || geo_loc_name: USA:New York City || lat_lon: 40.79 N 73.97 W || isolate: P00242 || BioSampleModel: Metagenome or environmental
DGIM00000000	Gut	1080397	Near complete	95.62	27.91716292	SRX834662	Baboon feces Metagenome	collection_date: 08-Aug-2012 || env_biome: mammalia-associated habitat || env_feature: mammalia-associated habitat || env_material: feces || geo_loc_name: Kenya || host: Papio cynocephalus || lat_lon: 2.717 S 37.1 E || host_age: 7.95 || host_body_product:
DHNC00000000	Gut	1043338	Near complete	90.45	36.32825544	SRX834662	Baboon feces Metagenome	collection_date: 08-Aug-2012 || env_biome: mammalia-associated habitat || env_feature: mammalia-associated habitat || env_material: feces || geo_loc_name: Kenya || host: Papio cynocephalus || lat_lon: 2.717 S 37.1 E || host_age: 7.95 || host_body_product:
DHMX00000000	Gut	2592100	Near complete	95.64	41.76127122	SRX834662	Baboon feces Metagenome	collection_date: 08-Aug-2012 || env_biome: mammalia-associated habitat || env_feature: mammalia-associated habitat || env_material: feces || geo_loc_name: Kenya || host: Papio cynocephalus || lat_lon: 2.717 S 37.1 E || host_age: 7.95 || host_body_product:
DHLF00000000	Gut	1472528	Near complete	95.14	35.1119857	SRX834666	Baboon feces Metagenome	collection_date: 24-Jul-2012 || env_biome: mammalia-associated habitat || env_feature: mammalia-associated habitat || env_material: feces || geo_loc_name: Kenya || host: Papio cynocephalus || lat_lon: 2.717 S 37.1 E || host_age: 6.97 || host_body_product:
DHKX00000000	Gut	1426004	Medium	78.03	47.13523974	SRX834666	Baboon feces Metagenome	collection_date: 24-Jul-2012 || env_biome: mammalia-associated habitat || env_feature: mammalia-associated habitat || env_material: feces || geo_loc_name: Kenya || host: Papio cynocephalus || lat_lon: 2.717 S 37.1 E || host_age: 6.97 || host_body_product:
DHKR00000000	Gut	1596102	Medium	74.86	45.13993247	SRX834666	Baboon feces Metagenome	collection_date: 24-Jul-2012 || env_biome: mammalia-associated habitat || env_feature: mammalia-associated habitat || env_material: feces || geo_loc_name: Kenya || host: Papio cynocephalus || lat_lon: 2.717 S 37.1 E || host_age: 6.97 || host_body_product:
DHHK00000000	Bioreactor	2183232	Near complete	90.03	43.15266134	SRX559915	Hydrocarbon Metagenome	collection_date: 2012-09-23 || env_biome: Tailing Pond || env_feature: Pond || env_material: waste water || geo_loc_name: Canada: North Alberta || lat_lon: 57.02, -111.55 || samp_vol_we_dna_ext: 1000ml || BioSampleModel: MIMS.me || BioSampleModel: MIGS/MI
DHGV00000000	Bioreactor	1993412	Near complete	91.48	49.22071163	SRX559915	Hydrocarbon Metagenome	collection_date: 2012-09-23 || env_biome: Tailing Pond || env_feature: Pond || env_material: waste water || geo_loc_name: Canada: North Alberta || lat_lon: 57.02, -111.55 || samp_vol_we_dna_ext: 1000ml || BioSampleModel: MIMS.me || BioSampleModel: MIGS/MI
DHGP00000000	Bioreactor	1821946	Medium	85.46	42.20996483	SRX559915	Hydrocarbon Metagenome	collection_date: 2012-09-23 || env_biome: Tailing Pond || env_feature: Pond || env_material: waste water || geo_loc_name: Canada: North Alberta || lat_lon: 57.02, -111.55 || samp_vol_we_dna_ext: 1000ml || BioSampleModel: MIMS.me || BioSampleModel: MIGS/MI
DHGM00000000	Bioreactor	1520823	Medium	70.56	43.05624554	SRX559915	Hydrocarbon Metagenome	collection_date: 2012-09-23 || env_biome: Tailing Pond || env_feature: Pond || env_material: waste water || geo_loc_name: Canada: North Alberta || lat_lon: 57.02, -111.55 || samp_vol_we_dna_ext: 1000ml || BioSampleModel: MIMS.me || BioSampleModel: MIGS/MI
DHGC00000000	Bioreactor	1857832	Near complete	96.25	40.9872384	SRX559915	Hydrocarbon Metagenome	collection_date: 2012-09-23 || env_biome: Tailing Pond || env_feature: Pond || env_material: waste water || geo_loc_name: Canada: North Alberta || lat_lon: 57.02, -111.55 || samp_vol_we_dna_ext: 1000ml || BioSampleModel: MIMS.me || BioSampleModel: MIGS/MI
DHFP00000000	Bioreactor	3211744	Near complete	90.89	37.08056038	SRX559915	Hydrocarbon Metagenome	collection_date: 2012-09-23 || env_biome: Tailing Pond || env_feature: Pond || env_material: waste water || geo_loc_name: Canada: North Alberta || lat_lon: 57.02, -111.55 || samp_vol_we_dna_ext: 1000ml || BioSampleModel: MIMS.me || BioSampleModel: MIGS/MI
DHFA00000000	Bioreactor	1731572	Medium	76.63	50.11760226	SRX691273	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-4-2-220-M || BioSampleModel: MIMS.
DHEZ00000000	Bioreactor	1617453	Partial	65.13	37.64412343	SRX691273	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-4-2-220-M || BioSampleModel: MIMS.
DHER00000000	Bioreactor	3413846	Near complete	96.64	35.40918521	SRX691272	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-4-1-220-B || BioSampleModel: MIMS.
DHEH00000000	Bioreactor	1368447	Near complete	96.63	30.31282714	SRX691271	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-3-3-350-T || BioSampleModel: MIMS.
DHEG00000000	Bioreactor	831484	Medium	75.84	51.84563881	SRX691271	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-3-3-350-T || BioSampleModel: MIMS.
DHEA00000000	Bioreactor	2580137	Medium	87.08	50.5604318	SRX691271	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-3-3-350-T || BioSampleModel: MIMS.
DHDV00000000	Bioreactor	1952441	Partial	62.68	34.41521507	SRX691271	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-3-3-350-T || BioSampleModel: MIMS.
DHDT00000000	Bioreactor	1759852	Medium	81.79	41.29194513	SRX691271	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-3-3-350-T || BioSampleModel: MIMS.
DHDO00000000	Bioreactor	2565274	Medium	89.02	48.86448465	SRX691270	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-3-2-350-M || BioSampleModel: MIMS.
DHDH00000000	Bioreactor	2459741	Near complete	93.45	37.95580443	SRX691270	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-3-2-350-M || BioSampleModel: MIMS.
DHDG00000000	Bioreactor	2826369	Near complete	90.85	50.1635482	SRX691270	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-3-2-350-M || BioSampleModel: MIMS.
DHCX00000000	Bioreactor	2548429	Near complete	93.95	50.4493441	SRX691277	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-5-3-140-T || BioSampleModel: MIMS.
DHCQ00000000	Bioreactor	2421941	Medium	87.87	48.05323447	SRX691277	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-5-3-140-T || BioSampleModel: MIMS.
DHCA00000000	Bioreactor	2022606	Near complete	92.87	47.97195227	SRX691276	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-5-2-140-M || BioSampleModel: MIMS.
DHBZ00000000	Bioreactor	2503984	Near complete	92.85	49.05398759	SRX691276	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-5-2-140-M || BioSampleModel: MIMS.
DHBY00000000	Bioreactor	1724733	Medium	71.68	31.42795894	SRX691276	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-5-2-140-M || BioSampleModel: MIMS.
DHBQ00000000	Bioreactor	2554862	Medium	74.42	49.71156301	SRX691276	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-5-2-140-M || BioSampleModel: MIMS.
DHBP00000000	Bioreactor	1770280	Near complete	96.64	50.63500545	SRX691275	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-5-1-140-B || BioSampleModel: MIMS.
