DDBJ/ENA/GenBank Accession	UBA Genome ID	SRA Bin ID	Genome Quality	CheckM Completeness	CheckM Contamination	CheckM Strain Heterogeneity	NCBI Organism Name	Genome Size (bp)	GC	Coverage	Bases >5x Coverage (%)	No. Ambiguous Bases	No. Contigs	No. Scaffolds	No. Predicted Genes	Environment
DGDI00000000	UBA3956	ERX1109758	Near complete	93.44	2.45	0	Firmicutes bacterium UBA3956 [phylum]	2163995	63.52179306	19.12	99.81900857	18037	182	82	1972	Bioreactor
DFZT00000000	UBA4049	SRX211001	Medium	85.03	0	0	Firmicutes bacterium UBA4049 [phylum]	1826274	46.43821385	515.78	99.99923205	3228	140	103	1872	Bioreactor
DFZP00000000	UBA4053	SRX211001	Partial	58.32	0.32	0	Firmicutes bacterium UBA4053 [phylum]	1239205	47.16511373	216.51	99.985426	4129	155	107	1282	Bioreactor
DFZH00000000	UBA4061	SRX211001	Medium	84.18	1.74	50	Firmicutes bacterium UBA4061 [phylum]	1821097	42.41183594	53.79	99.95422771	7773	286	206	2004	Bioreactor
DFYD00000000	UBA4091	SRX211001	Near complete	91.6	1.05	50	Firmicutes bacterium UBA4091 [phylum]	1791414	42.45639307	8.24	84.87467878	1733	227	204	1991	Bioreactor
DFTD00000000	UBA4221	SRX290705	Partial	51.72	0	0	Megasphaera elsdenii [species]	1454592	53.67563795	249.93	100.0002063	137	34	32	1302	Gut
DGWS00000000	UBA4252	SRX290706	Partial	65.27	0	0	Megasphaera elsdenii [species]	1544238	52.96422096	221.27	100.0042765	932	32	19	1387	Gut
DGWE00000000	UBA4266	SRX290706	Partial	57.56	0.23	0	Eubacteriaceae bacterium UBA4266 [family]	1317984	53.82827542	50.19	99.98663208	1399	128	113	1310	Gut
DGVZ00000000	UBA4271	SRX290706	Medium	87.96	0.71	0	Faecalitalea sp. UBA4271 [genus]	1753258	38.08775094	31.61	99.94142401	1687	156	143	1882	Gut
DGTG00000000	UBA4342	SRX290708	Medium	89.67	6.2	0	Lachnospira sp. UBA4342 [genus]	2992003	32.00582422	37.37	99.96629317	4478	243	202	2705	Gut
DGSQ00000000	UBA4358	SRX290709	Medium	76.73	0	0	Clostridiales bacterium UBA4358 [order]	1880346	60.04647782	291.07	99.97854377	6764	116	60	1618	Gut
DGSJ00000000	UBA4365	SRX290709	Partial	61.4	0	0	Bacillales bacterium UBA4365 [order]	704530	36.2352784	73.82	99.9853619	887	77	68	669	Gut
DGRV00000000	UBA4379	SRX290709	Near complete	91.14	2.02	0	Catabacter sp. UBA4379 [genus]	2988944	58.88446028	34.37	99.96489185	9579	216	106	2662	Gut
DGRS00000000	UBA4382	SRX290709	Near complete	95.25	1.55	60	Megasphaera sp. UBA4382 [genus]	2437087	49.56337086	15.86	99.32151991	1496	105	88	2288	Gut
DGRE00000000	UBA4396	SRX822757	Near complete	98.73	0.95	0	Hungatella sp. UBA4396 [genus]	4500952	44.9259314	44.37	100.0002666	57	72	71	4232	Built Environment
DGKZ00000000	UBA4557	SRX822533	Near complete	97.67	3.85	0	Firmicutes bacterium UBA4557 [phylum]	4119244	35.46615385	57.61	100.0000729	2395	66	48	3976	Built Environment
DGJJ00000000	UBA4599	SRX822221	Near complete	98.37	3.85	0	Firmicutes bacterium UBA4599 [phylum]	4234627	35.48195568	22.1	99.98231065	441	52	49	4042	Built Environment
DGIM00000000	UBA4622	SRX834662	Near complete	95.62	0	0	Bacillales bacterium UBA4622 [order]	1080397	27.91716292	79.58	99.90888442	4840	95	54	993	Gut
DHNC00000000	UBA4626	SRX834662	Near complete	90.45	0.16	0	Catabacter sp. UBA4626 [genus]	1043338	36.32825544	43.1	99.80396559	1174	61	45	939	Gut
DHMX00000000	UBA4631	SRX834662	Near complete	95.64	0	0	Lachnospiraceae bacterium UBA4631 [family]	2592100	41.76127122	34.71	99.99027553	699	44	35	2377	Gut
DHLF00000000	UBA4675	SRX834666	Near complete	95.14	0	0	Catabacter sp. UBA4675 [genus]	1472528	35.1119857	128.78	100.0009516	1358	26	14	1343	Gut
DHKX00000000	UBA4683	SRX834666	Medium	78.03	0	0	Catabacter sp. UBA4683 [genus]	1426004	47.13523974	65.2	100	10074	188	83	1237	Gut
DHKR00000000	UBA4689	SRX834666	Medium	74.86	0.17	100	Catabacter sp. UBA4689 [genus]	1596102	45.13993247	34.95	99.9874613	9015	207	128	1447	Gut
DHHK00000000	UBA4774	SRX559915	Near complete	90.03	2.02	68.42	Firmicutes bacterium UBA4774 [phylum]	2183232	43.15266134	179.4	100.0002749	289	48	44	2191	Bioreactor
DHGV00000000	UBA4789	SRX559915	Near complete	91.48	2.31	16.67	Pelotomaculum sp. UBA4789 [genus]	1993412	49.22071163	57.43	99.96940519	2878	170	128	2055	Bioreactor
DHGP00000000	UBA4795	SRX559915	Medium	85.46	0.32	0	Firmicutes bacterium UBA4795 [phylum]	1821946	42.20996483	37.69	99.92243368	279	47	44	1895	Bioreactor
DHGM00000000	UBA4798	SRX559915	Medium	70.56	0.7	0	Firmicutes bacterium UBA4798 [phylum]	1520823	43.05624554	31.17	99.90790899	7103	182	85	1550	Bioreactor
DHGC00000000	UBA4808	SRX559915	Near complete	96.25	0.47	100	Erysipelotrichaceae bacterium UBA4808 [family]	1857832	40.9872384	20.77	99.58831794	4460	172	109	2000	Bioreactor
DHFP00000000	UBA4821	SRX559915	Near complete	90.89	4.08	0	Clostridiales bacterium UBA4821 [order]	3211744	37.08056038	13	97.97157469	1717	325	293	3330	Bioreactor
DHFA00000000	UBA4836	SRX691273	Medium	76.63	0.21	0	Firmicutes bacterium UBA4836 [phylum]	1731572	50.11760226	9.67	94.61340953	61536	535	125	1864	Bioreactor
DHEZ00000000	UBA4837	SRX691273	Partial	65.13	0	0	Bacillales bacterium UBA4837 [order]	1617453	37.64412343	7.58	86.93141563	86040	762	105	1381	Bioreactor
DHER00000000	UBA4845	SRX691272	Near complete	96.64	0.35	0	Firmicutes bacterium UBA4845 [phylum]	3413846	35.40918521	42.91	99.86939853	3471	233	184	3274	Bioreactor
DHEH00000000	UBA4855	SRX691271	Near complete	96.63	0	0	Bacillales bacterium UBA4855 [order]	1368447	30.31282714	52.31	99.99992669	4371	41	19	1256	Bioreactor
DHEG00000000	UBA4856	SRX691271	Medium	75.84	0	0	Bacillales bacterium UBA4856 [order]	831484	51.84563881	47.12	100.0073254	12418	75	16	720	Bioreactor
DHEA00000000	UBA4862	SRX691271	Medium	87.08	2.12	0	Firmicutes bacterium UBA4862 [phylum]	2580137	50.5604318	20.68	99.80429746	77870	503	96	2422	Bioreactor
DHDV00000000	UBA4867	SRX691271	Partial	62.68	2.1	0	Firmicutes bacterium UBA4867 [phylum]	1952441	34.41521507	9.48	95.07607375	87080	771	214	1887	Bioreactor
DHDT00000000	UBA4869	SRX691271	Medium	81.79	0	0	Bacillales bacterium UBA4869 [order]	1759852	41.29194513	9.27	95.00281393	54052	501	80	1453	Bioreactor
DHDO00000000	UBA4874	SRX691270	Medium	89.02	1.61	0	Firmicutes bacterium UBA4874 [phylum]	2565274	48.86448465	86.76	100.0072072	81644	490	113	2362	Bioreactor
DHDH00000000	UBA4881	SRX691270	Near complete	93.45	1.31	0	Firmicutes bacterium UBA4881 [phylum]	2459741	37.95580443	14.44	99.64220567	14202	146	51	2276	Bioreactor
DHDG00000000	UBA4882	SRX691270	Near complete	90.85	1.47	0	Firmicutes bacterium UBA4882 [phylum]	2826369	50.1635482	13.66	99.64296804	47066	357	71	2650	Bioreactor
DHCX00000000	UBA4891	SRX691277	Near complete	93.95	2.45	0	Firmicutes bacterium UBA4891 [phylum]	2548429	50.4493441	37.71	99.99298375	82724	451	116	2415	Bioreactor
DHCQ00000000	UBA4898	SRX691277	Medium	87.87	5.05	46.67	Firmicutes bacterium UBA4898 [phylum]	2421941	48.05323447	13.38	98.53844405	51522	366	83	2345	Bioreactor
DHCA00000000	UBA4914	SRX691276	Near complete	92.87	0	0	Firmicutes bacterium UBA4914 [phylum]	2022606	47.97195227	38.24	99.99340182	6899	58	28	1992	Bioreactor
DHBZ00000000	UBA4915	SRX691276	Near complete	92.85	0.81	0	Firmicutes bacterium UBA4915 [phylum]	2503984	49.05398759	28.03	99.95999705	64164	367	100	2289	Bioreactor
DHBY00000000	UBA4916	SRX691276	Medium	71.68	1.82	0	Firmicutes bacterium UBA4916 [phylum]	1724733	31.42795894	27.53	99.95648319	12751	164	108	1750	Bioreactor
DHBQ00000000	UBA4924	SRX691276	Medium	74.42	0.48	33.33	Firmicutes bacterium UBA4924 [phylum]	2554862	49.71156301	10.93	97.76343451	94706	658	172	2382	Bioreactor
DHBP00000000	UBA4925	SRX691275	Near complete	96.64	0	0	Ruminococcaceae bacterium UBA4925 [family]	1770280	50.63500545	927.29	100.0204151	16673	107	19	1671	Bioreactor
DHBC00000000	UBA4938	SRX691275	Medium	83.9	1.08	100	Firmicutes bacterium UBA4938 [phylum]	2609483	48.85454343	16.1	99.55541703	84420	680	234	2522	Bioreactor
DHBB00000000	UBA4939	SRX691275	Medium	88.14	1.69	0	Firmicutes bacterium UBA4939 [phylum]	2514889	50.55589984	12.79	99.37526465	89542	603	117	2364	Bioreactor
DHAP00000000	UBA4951	SRX691274	Near complete	97.75	1.12	0	Bacillales bacterium UBA4951 [order]	1535641	48.54432401	27.04	99.99196715	4428	80	54	1396	Bioreactor
DHAN00000000	UBA4953	SRX691274	Near complete	93.89	1.31	0	Firmicutes bacterium UBA4953 [phylum]	2542656	37.89578702	24.24	99.96605141	41816	274	67	2343	Bioreactor
DHAA00000000	UBA4966	SRX691279	Near complete	90.95	1.74	16.67	Thermacetogenium sp. UBA4966 [genus]	2920803	50.67719365	153.11	99.98610566	27539	268	163	2820	Bioreactor
DGZV00000000	UBA4971	SRX691279	Medium	88.98	1.06	0	Firmicutes bacterium UBA4971 [phylum]	2358295	47.79879072	83.16	99.99611572	67009	352	104	2203	Bioreactor
DGZR00000000	UBA4975	SRX691279	Medium	82.19	0.85	0	Firmicutes bacterium UBA4975 [phylum]	1523708	58.39239994	24.81	99.91485976	53193	293	99	1529	Bioreactor
DGZQ00000000	UBA4976	SRX691279	Near complete	92.16	2.54	0	Firmicutes bacterium UBA4976 [phylum]	3101285	41.89610217	22.76	99.84981506	63031	469	202	2808	Bioreactor
DGZO00000000	UBA4978	SRX691279	Medium	87.88	0.81	0	Firmicutes bacterium UBA4978 [phylum]	2521578	49.080835	19.64	99.84604694	83822	480	158	2366	Bioreactor
DGZM00000000	UBA4980	SRX691279	Near complete	92.66	0.98	0	Firmicutes bacterium UBA4980 [phylum]	2616193	60.68872437	15.99	99.78144434	79997	519	192	2510	Bioreactor
DGZL00000000	UBA4981	SRX691279	Near complete	90.49	2.45	0	Firmicutes bacterium UBA4981 [phylum]	2468933	49.69653135	15.19	99.52144691	53527	397	170	2279	Bioreactor
DGZB00000000	UBA4991	SRX691278	Near complete	90.81	0	0	Firmicutes bacterium UBA4991 [phylum]	2515458	49.07022173	32.64	99.90873266	95096	532	153	2378	Bioreactor
DGZA00000000	UBA4992	SRX691278	Near complete	93.5	0	0	Firmicutes bacterium UBA4992 [phylum]	2169207	50.39658311	31.01	99.98435423	8878	83	41	2127	Bioreactor
DGYW00000000	UBA4996	SRX691278	Near complete	96.19	1.69	0	Firmicutes bacterium UBA4996 [phylum]	2516066	46.34800112	18.61	99.69768656	38505	247	75	2443	Bioreactor
DGYV00000000	UBA4997	SRX691278	Medium	79.28	0.77	50	Peptococcaceae bacterium UBA4997 [family]	1735796	40.47804623	11.88	97.23412247	71731	450	73	1596	Bioreactor
DGYI00000000	UBA5010	SRX822819	Near complete	96.93	2.45	0	Firmicutes bacterium UBA5010 [phylum]	3306877	33.22215149	7.21	99.78722044	6278	134	74	3177	Built Environment
DICK00000000	UBA5028	SRX823250	Medium	75.69	1.9	33.33	Leuconostoc lactis [species]	1318409	43.95231707	9	94.88058405	24277	383	148	1391	Built Environment
DHVT00000000	UBA5201	SRX559902	Near complete	99.29	3.19	0	Firmicutes bacterium UBA5201 [phylum]	3167382	41.34323909	45.57	99.99510564	470	35	30	3033	Biofilm
DHUV00000000	UBA5225	SRX691264	Near complete	90.71	1.13	0	Firmicutes bacterium UBA5225 [phylum]	2529265	37.8261313	51.44	99.94088266	19003	191	106	2348	Bioreactor
DHUT00000000	UBA5227	SRX691264	Near complete	94.81	1.4	0	Firmicutes bacterium UBA5227 [phylum]	2952350	36.37117074	44.49	99.80204382	29986	244	108	2785	Bioreactor
DHUJ00000000	UBA5237	SRX691264	Medium	78.18	2.82	0	Firmicutes bacterium UBA5237 [phylum]	1829103	49.50276363	13.44	99.31323585	72896	470	160	1834	Bioreactor
DHTY00000000	UBA5248	SRX691265	Medium	85.72	0	0	Firmicutes bacterium UBA5248 [phylum]	1708042	51.48476712	27.09	99.97383935	41417	258	104	1764	Bioreactor
DHTT00000000	UBA5253	SRX691265	Medium	89.35	0.98	0	Firmicutes bacterium UBA5253 [phylum]	3016979	60.17950032	13.84	99.21127103	74143	543	211	2875	Bioreactor
DHTS00000000	UBA5254	SRX691265	Partial	67.01	0	0	Bacillales bacterium UBA5254 [order]	1443958	37.58322394	11.86	97.66525703	68903	445	149	1255	Bioreactor
DHTR00000000	UBA5255	SRX691265	Medium	83.95	1.9	0	Pelotomaculum sp. UBA5255 [genus]	2407411	50.17593851	11.02	97.43065807	77904	516	116	2342	Bioreactor
DHTP00000000	UBA5257	SRX691265	Near complete	93.22	3.39	0	Aminobacterium sp. UBA5257 [genus]	2125739	43.8573252	10.36	96.42541754	51203	336	56	1953	Bioreactor
DHTE00000000	UBA5268	SRX691266	Near complete	90.18	4.8	0	Firmicutes bacterium UBA5268 [phylum]	3378250	41.93514033	17.65	99.64843379	82427	562	196	3066	Bioreactor
DHSX00000000	UBA5275	SRX691266	Near complete	91.96	2.94	0	Firmicutes bacterium UBA5275 [phylum]	2875656	60.36033459	11.42	98.31929918	79144	572	160	2726	Bioreactor
DHSU00000000	UBA5278	SRX691266	Partial	69.7	0.28	0	Firmicutes bacterium UBA5278 [phylum]	1920065	48.95517611	8.88	94.03094951	76740	557	117	1856	Bioreactor
DHSM00000000	UBA5286	SRX691267	Near complete	94.77	0	0	Firmicutes bacterium UBA5286 [phylum]	2215212	50.04420686	111.36	100.0022183	6279	63	33	2193	Bioreactor
DHSJ00000000	UBA5289	SRX691267	Near complete	91.77	2.05	0	Firmicutes bacterium UBA5289 [phylum]	2849033	60.37165765	40.45	99.99546135	72876	476	165	2663	Bioreactor
DHSG00000000	UBA5292	SRX691267	Medium	88.42	0.85	0	Firmicutes bacterium UBA5292 [phylum]	2572536	50.44608964	29.21	99.98915977	72590	462	123	2395	Bioreactor
DHSF00000000	UBA5293	SRX691267	Medium	90.95	5.93	16.67	Firmicutes bacterium UBA5293 [phylum]	3079471	41.90648501	19.72	99.77539061	43979	369	133	2778	Bioreactor
DHRY00000000	UBA5300	SRX691267	Medium	78.06	1.13	0	Firmicutes bacterium UBA5300 [phylum]	2502188	37.83126322	10.57	98.04210575	80096	606	157	2319	Bioreactor
DHRX00000000	UBA5301	SRX691267	Medium	73.39	3.29	33.33	Firmicutes bacterium UBA5301 [phylum]	1916905	44.82822045	10.01	95.8452825	79259	609	198	1988	Bioreactor
DHRC00000000	UBA5322	SRX691263	Medium	85.45	2.12	0	Firmicutes bacterium UBA5322 [phylum]	2678578	50.27235693	25.93	99.99257558	79048	524	107	2516	Bioreactor
DHRA00000000	UBA5324	SRX691263	Medium	83.99	0.28	0	Firmicutes bacterium UBA5324 [phylum]	2756001	50.64266993	26.51	99.94768217	39910	321	97	2601	Bioreactor
DHQU00000000	UBA5330	SRX691263	Medium	85.59	0.86	66.67	Firmicutes bacterium UBA5330 [phylum]	2492916	48.91386499	10.12	97.72476527	75583	659	191	2341	Bioreactor
DHQF00000000	UBA5345	SRX691283	Medium	84.56	0	0	Ruminococcaceae bacterium UBA5345 [family]	1653911	50.7936566	492.34	100.0079256	13655	88	15	1567	Bioreactor
DHPX00000000	UBA5353	SRX691283	Near complete	91.17	0	0	Firmicutes bacterium UBA5353 [phylum]	2004359	50.60806517	51.09	99.99393854	24637	177	67	1995	Bioreactor
DHPO00000000	UBA5362	SRX691283	Medium	77.61	1.96	0	Firmicutes bacterium UBA5362 [phylum]	2385781	60.34503525	21.29	99.97010167	44513	321	96	2201	Bioreactor
DHPN00000000	UBA5363	SRX691283	Medium	84.29	0	0	Atopobiaceae bacterium UBA5363 [family]	1368025	54.58009798	20.42	99.92486835	21056	147	35	1272	Bioreactor
DHOO00000000	UBA5388	SRX691282	Near complete	93.22	2.26	0	Firmicutes bacterium UBA5388 [phylum]	3197706	41.73059243	19.61	99.93873011	41180	341	145	2891	Bioreactor
DHON00000000	UBA5389	SRX691282	Near complete	94.36	1.96	0	Firmicutes bacterium UBA5389 [phylum]	3286765	59.83713129	17.09	99.82713423	21804	248	135	3006	Bioreactor
DHOM00000000	UBA5390	SRX691282	Near complete	93.29	0.85	0	Firmicutes bacterium UBA5390 [phylum]	2172017	47.91826586	15.5	99.82649898	14681	123	41	2086	Bioreactor
DHOD00000000	UBA5399	SRX691282	Medium	85.24	0	0	Catabacter sp. UBA5399 [genus]	2270357	52.14418973	8.97	94.36294964	82351	654	161	2231	Bioreactor
DHNU00000000	UBA5408	SRX691280	Medium	73.7	0	0	Ruminococcaceae bacterium UBA5408 [family]	1337210	38.07812352	31.85	99.96831937	36731	234	80	1290	Bioreactor
DHNI00000000	UBA5420	SRX691280	Medium	85.96	2.54	0	Firmicutes bacterium UBA5420 [phylum]	2555034	47.81061462	12.05	98.48330279	81897	597	174	2516	Bioreactor
DIRW00000000	UBA5426	SRX691281	Near complete	97.32	0	0	Ruminococcaceae bacterium UBA5426 [family]	1737345	50.76539288	1687.09	100.0089218	11238	62	14	1639	Bioreactor
DIRN00000000	UBA5435	SRX691281	Medium	89.41	2.54	0	Firmicutes bacterium UBA5435 [phylum]	2764925	39.45966779	42.71	99.99351607	4253	140	120	2610	Bioreactor
DIRB00000000	UBA5447	SRX691281	Near complete	91.01	1.47	0	Firmicutes bacterium UBA5447 [phylum]	2437580	37.94289468	19.49	99.83176613	17140	130	55	2277	Bioreactor
DIQZ00000000	UBA5449	SRX691281	Medium	89.97	0.85	0	Firmicutes bacterium UBA5449 [phylum]	2439697	47.77690083	17.58	99.49837185	42503	288	102	2244	Bioreactor
DIQX00000000	UBA5451	SRX691281	Near complete	91.22	1.82	36.36	Thermacetogenium sp. UBA5451 [genus]	2579995	47.35836174	16.16	99.83537489	32996	243	90	2418	Bioreactor
DIQU00000000	UBA5454	SRX691281	Partial	68.09	0.03	100	Firmicutes bacterium UBA5454 [phylum]	1656147	41.81767339	12.42	98.83243366	32599	266	110	1467	Bioreactor
DIQT00000000	UBA5455	SRX691281	Near complete	96.25	0	0	Bacillales bacterium UBA5455 [order]	1074392	36.00069745	12.77	98.85128321	13382	97	22	951	Bioreactor
DIQP00000000	UBA5459	SRX691281	Medium	85.25	1.27	100	Firmicutes bacterium UBA5459 [phylum]	1845461	51.01518235	9.67	96.02149686	66224	488	142	1951	Bioreactor
DIQD00000000	UBA5471	SRX691286	Medium	83.43	1.21	50	Firmicutes bacterium UBA5471 [phylum]	2645100	48.88137907	17.12	99.52231842	89632	625	189	2597	Bioreactor
DIQC00000000	UBA5472	SRX691286	Near complete	92.51	1.27	50	Thermacetogenium sp. UBA5472 [genus]	2326107	45.36995179	14.64	99.72544869	29997	266	107	2281	Bioreactor
DIQB00000000	UBA5473	SRX691286	Partial	65.02	1.13	0	Firmicutes bacterium UBA5473 [phylum]	1907581	47.537645	14.71	99.33123944	47573	372	135	1851	Bioreactor
DIQA00000000	UBA5474	SRX691286	Near complete	93.79	2.12	0	Firmicutes bacterium UBA5474 [phylum]	2659505	48.27305267	13.29	98.9042558	23032	246	86	2655	Bioreactor
DIPQ00000000	UBA5484	SRX691284	Near complete	94.14	0	0	Firmicutes bacterium UBA5484 [phylum]	2088240	47.94776227	36.98	100.001633	6220	71	35	2016	Bioreactor
DIPO00000000	UBA5486	SRX691284	Near complete	91.24	4.24	0	Firmicutes bacterium UBA5486 [phylum]	2834323	38.73874675	35.62	99.96738163	23024	242	81	2544	Bioreactor
DIPL00000000	UBA5489	SRX691284	Medium	83.47	0	0	Catabacter sp. UBA5489 [genus]	960543	30.85247454	21.25	99.94246351	8104	66	22	780	Bioreactor
DIPH00000000	UBA5493	SRX691284	Near complete	94.89	1.69	0	Firmicutes bacterium UBA5493 [phylum]	2849227	48.16078715	15.15	99.83028821	6761	113	53	2858	Bioreactor
DIPE00000000	UBA5496	SRX691284	Medium	86.07	0	0	Firmicutes bacterium UBA5496 [phylum]	1856037	51.93015994	11.25	98.7385126	51342	444	116	1898	Bioreactor
DIPB00000000	UBA5499	SRX691284	Medium	77.5	2.4	0	Firmicutes bacterium UBA5499 [phylum]	2627579	52.45757913	8.21	91.06229311	95453	929	204	2557	Bioreactor
DIPA00000000	UBA5500	SRX691284	Medium	79.15	1.69	33.33	Firmicutes bacterium UBA5500 [phylum]	2276730	49.04807389	8.16	91.89879815	84438	822	131	2134	Bioreactor
DIOR00000000	UBA5509	SRX691285	Near complete	94.56	0	0	Firmicutes bacterium UBA5509 [phylum]	2121455	47.80735193	43.91	100.0008025	3126	45	29	2055	Bioreactor
DIOK00000000	UBA5516	SRX691285	Medium	87.79	0.42	0	Firmicutes bacterium UBA5516 [phylum]	2584832	47.86367296	9.33	94.62921758	63542	534	38	2348	Bioreactor
DIOJ00000000	UBA5517	SRX691285	Medium	72.38	0.22	100	Clostridiales bacterium UBA5517 [order]	1823930	55.64125791	8.42	92.42041818	67593	555	59	1836	Bioreactor
DIOA00000000	UBA5526	SRX823264	Near complete	92.01	3.85	14.29	Firmicutes bacterium UBA5526 [phylum]	4098678	35.37693947	18.19	99.85379863	11165	219	107	4024	Built Environment
DIMT00000000	UBA5559	SRX392470	Medium	86.29	1.42	0	Firmicutes bacterium UBA5559 [phylum]	1941859	49.01765936	12.76	97.85249178	679	59	39	1833	Bioreactor
DIMR00000000	UBA5561	SRX392470	Near complete	95.36	1.75	66.67	Firmicutes bacterium UBA5561 [phylum]	2047817	42.42828102	11.14	94.98061319	3902	204	113	2157	Bioreactor
DIMI00000000	UBA5570	SRX823046	Near complete	98.67	1.07	0	Leuconostoc lactis [species]	1604189	43.61510971	9.44	91.32553606	3629	84	31	1657	Built Environment
DIKF00000000	UBA5625	SRX211342	Medium	81.59	2.66	0	Firmicutes bacterium UBA5625 [phylum]	2521528	46.07803616	17.8	99.40502457	6130	259	177	2630	Bioreactor
DIGT00000000	UBA5715	SRX823306	Near complete	99.63	0	0	Enterococcus faecalis [species]	2819849	37.40137449	17.87	99.92048934	1359	43	26	2655	Built Environment
DIGA00000000	UBA5734	SRX210886	Near complete	95.04	2.48	25	Mageeibacillus sp. UBA5734 [genus]	2697096	55.51117953	178.2	99.9879413	1947	156	124	2469	Bioreactor
DIFY00000000	UBA5736	SRX210886	Near complete	90.6	0	0	Clostridiales bacterium UBA5736 [order]	2074900	34.04851475	161.64	100.003761	974	32	22	1872	Bioreactor
DIFJ00000000	UBA5751	SRX210886	Near complete	93.76	2.26	0	Syntrophaceae bacterium UBA5751 [family]	2588094	53.30981413	76.57	99.89557909	2405	125	88	2493	Bioreactor
DIFD00000000	UBA5757	SRX210886	Medium	89.12	0.95	0	Peptococcaceae bacterium UBA5757 [family]	1937085	43.77003453	38.17	99.98734933	429	32	25	1809	Bioreactor
DIFB00000000	UBA5759	SRX210886	Near complete	95.59	0	0	Firmicutes bacterium UBA5759 [phylum]	1994082	42.52839759	25.2	99.88462693	8350	252	143	2011	Bioreactor
DIEU00000000	UBA5766	SRX210886	Medium	89.21	3.71	0	Firmicutes bacterium UBA5766 [phylum]	2122677	45.96067553	20.97	99.81726652	1555	108	83	2096	Bioreactor
DIEM00000000	UBA5774	SRX210886	Near complete	96.43	1.65	33.33	Firmicutes bacterium UBA5774 [phylum]	2535298	49.13456694	12.69	96.89808402	671	87	75	2415	Bioreactor
DIDK00000000	UBA5802	SRX1363839	Near complete	96.57	0.31	0	Lactobacillaceae bacterium UBA5802 [family]	2075302	37.20874999	23.27	99.27855779	3757	154	134	2088	Bioreactor
DIDD00000000	UBA5809	SRX1363838	Medium	82.81	0.22	50	Veillonellaceae bacterium UBA5809 [family]	1528507	48.09922094	11.85	95.85674282	7578	209	151	1540	Bioreactor
DIDC00000000	UBA5810	SRX1363838	Medium	86.08	4.53	12.5	Lactobacillaceae bacterium UBA5810 [family]	2430014	44.12587453	10.92	92.35087716	1278	269	256	2498	Bioreactor
DICT00000000	UBA5819	SRX392460	Medium	86.01	0	0	Firmicutes bacterium UBA5819 [phylum]	1881411	31.98761958	44.65	99.99829881	377	60	54	1807	Bioreactor
DJHH00000000	UBA5824	SRX392460	Near complete	92.06	1.4	0	Firmicutes bacterium UBA5824 [phylum]	2063361	42.01773135	15.36	98.24265964	5763	281	181	2123	Bioreactor
DJHA00000000	UBA5832	SRX392466	Near complete	90.21	2.8	75	Firmicutes bacterium UBA5832 [phylum]	1757988	42.45059965	111.99	100.00211	4458	193	132	1750	Bioreactor
DJGK00000000	UBA5848	SRX392467	Medium	71.21	0.7	0	Firmicutes bacterium UBA5848 [phylum]	1713117	42.84230194	19.35	99.88471356	2595	83	36	1678	Bioreactor
DJGB00000000	UBA5857	SRX392468	Near complete	98.6	0.7	0	Firmicutes bacterium UBA5857 [phylum]	2126628	42.33698778	10.46	92.4220405	3827	159	64	2235	Bioreactor
DJEN00000000	UBA5897	SRX834619	Near complete	96.25	1.8	66.67	Megasphaera sp. UBA5897 [genus]	2222318	45.49401185	25.25	99.86335775	7776	184	110	2064	Gut
DJDZ00000000	UBA5911	SRX834619	Medium	89.42	1.95	0	Firmicutes bacterium UBA5911 [phylum]	2053387	51.17856815	10.51	94.7857615	15448	431	204	2077	Gut
DJDX00000000	UBA5913	SRX834619	Partial	66.4	1.12	0	Bacillales bacterium UBA5913 [order]	1133290	52.58797209	9.95	91.34034777	4665	153	65	1042	Gut
DJCB00000000	UBA5961	SRX822279	Medium	93.62	8.06	5.56	Sporomusaceae bacterium UBA5961 [family]	4045396	44.39424498	6.89	73.2975152	10382	461	348	4746	Built Environment
DJAZ00000000	UBA5989	SRX822275	Near complete	95.59	3.56	0	Sporomusaceae bacterium UBA5989 [family]	4242752	44.47107031	8.7	88.01340736	4183	209	168	4475	Built Environment
DIWF00000000	UBA6113	SRX327521	Near complete	96.13	0.7	0	Firmicutes bacterium UBA6113 [phylum]	3583449	36.3227756	23.22	99.93090253	105	42	40	3376	Bioreactor
DIVM00000000	UBA6132	SRX327521	Medium	95.31	6.18	30	Firmicutes bacterium UBA6132 [phylum]	4611986	29.56363883	8.89	85.02665981	737	397	385	4541	Bioreactor
DIUP00000000	UBA6155	SRX327520	Medium	88.68	0.63	0	Firmicutes bacterium UBA6155 [phylum]	2237978	42.82895219	58.02	99.96330424	662	99	91	2368	Bioreactor
DITL00000000	UBA6185	SRX327520	Near complete	92.24	1.75	33.33	Firmicutes bacterium UBA6185 [phylum]	1970066	42.61597262	11.55	95.7401465	3050	216	162	2099	Bioreactor
DJWQ00000000	UBA6226	SRX327522	Medium	73.45	3.45	0	Firmicutes bacterium UBA6226 [phylum]	2943930	36.96253839	39.53	99.89322163	6069	355	261	2917	Bioreactor
DJVX00000000	UBA6245	SRX327522	Medium	89.72	1.63	50	Firmicutes bacterium UBA6245 [phylum]	2089578	46.43184768	20.29	99.54233124	4227	217	151	2152	Bioreactor
DJVM00000000	UBA6256	SRX327522	Medium	83.57	2.72	0	Firmicutes bacterium UBA6256 [phylum]	2493717	64.45438097	17.92	99.09884324	4361	213	136	2405	Bioreactor
