DDBJ/ENA/GenBank Accession	UBA Genome ID	SRA Bin ID	Genome Quality	CheckM Completeness	CheckM Contamination	CheckM Strain Heterogeneity	NCBI Organism Name	SSU Length (bp)	SSU Percent Identity (top hit)	SSU SILVA Taxonomy (top hit)	SSU Top Hit in SILVA	Genome Size (bp)	GC	Coverage	Bases >5x Coverage (%)	No. Ambiguous Bases	No. Contigs	No. Scaffolds	No. Predicted Genes	Coding density	Longest Contig (bp)	Longest Scaffold (bp)	Mean Contig Length (bp)	Mean Scaffold Length (bp)	N50 (contigs)	N50 (scaffolds)	Translation Table	Scaffolds Removed by Filtering	Standard tRNAs	Selenocysteine tRNAs (TCA)	tRNAs Decoding Standard 20 AA	Total tRNAs	Percent PG (relative to NCBI genomes)	CheckM Marker Lineage	CheckM # genomes	CheckM # marker sets	CheckM # markers	CheckM Insertion Branch ID	Environment
DCUO00000000	UBA2212	SRX327722	Near complete	93.61	0.94	0	Erysipelotrichaceae bacterium UBA2212 [family]	508	96.62	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix;uncultured Erysipelothrix sp.	DQ234215.1.1535	1827033	40.79726859	25.16	99.75323448	2629	139	97	1959	0.916478246	112308	112579	13125	18835	24873	31045	11	27	17	0	29	29	0.020711	k__Bacteria (UID2372)	131	106	177	UID2382	Bioreactor
DDXL00000000	UBA2261	SRX559894	Near complete	97.13	2.1	33.33	Firmicutes bacterium UBA2261 [phylum]					1800396	42.58315633	24.53	99.79337418	1976	156	125	1873	0.91327408	109593	109601	11528	14403	20266	25899	11	25	11	1	18	19	0.017111	o__Clostridiales (UID1120)	304	143	250	UID1126	Bioreactor
DDXD00000000	UBA2269	SRX559894	Medium	83.94	3.8	10	Firmicutes bacterium UBA2269 [phylum]					1835529	46.34433814	9	86.79248265	362	227	219	1951	0.880593551	32341	32341	8084	8381	11020	11020	11	9	7	0	9	10	0.002386	p__Firmicutes (UID1022)	100	158	295	UID1090	Bioreactor
DDWI00000000	UBA2290	SRX559898	Medium	85.58	1.77	0	Firmicutes bacterium UBA2290 [phylum]					2973050	41.33869789	17.51	99.8519263	206	46	44	2840	0.921289921	219916	219918	64627	67569	110045	110047	11	5	11	0	18	19	0.021105	o__Clostridiales (UID1120)	304	141	247	UID1148	Biofilm
DDWC00000000	UBA2296	SRX559898	Near complete	90.56	2.99	22.22	Firmicutes bacterium UBA2296 [phylum]	360	98.387	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;SRB2;uncultured Firmicutes bacterium	FN429799.1.1468	2447324	54.65508664	8.19	83.66430512	1043	274	257	2552	0.892237399	56739	56739	8928	9522	12128	12438	11	0	16	0	28	28	0.03455	p__Firmicutes (UID241)	930	118	213	UID242	Biofilm
DDNC00000000	UBA2530	SRX822576	Near complete	97.67	1.4	0	Firmicutes bacterium UBA2530 [phylum]					3255849	38.33339632	10.76	96.11666773	1170	42	29	3217	0.896191439	420005	515148	77492	112270	116496	157092	11	0	12	1	25	27	0.007746	o__Clostridiales (UID1120)	304	143	250	UID1126	Built Environment
DDMB00000000	UBA2557	ERX923322	Near complete	90.52	2.45	0	Firmicutes bacterium UBA2557 [phylum]	402	99.747	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Gelria;uncultured bacterium	EU878322.1.1533	1917732	49.59344817	10.77	95.40021044	11210	203	87	1810	0.852594106	149438	149452	9391	22042	21261	34237	11	6	18	0	41	41	0	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DDLY00000000	UBA2560	ERX923321	Medium	82.38	0.09	100	Firmicutes bacterium UBA2560 [phylum]					1714253	49.7235102	10.15	89.54363128	32455	321	207	1676	0.846224565	26401	30621	5239	8281	8052	10993	11	3	15	0	29	29	0.000487	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DDLB00000000	UBA2583	SRX822369	Medium	80.65	1.27	0	Hungatella sp. UBA2583 [genus]	379	99.194	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium 5;Clostridium sp. CITR8	AY221993.1.1524	4367805	44.07898593	5.63	57.26951345	17562	682	499	5437	0.867323289	54330	54376	6378	8753	9128	10736	11	1	16	0	26	27	0.000371	o__Clostridiales (UID1226)	155	158	278	UID1358	Built Environment
DDKP00000000	UBA2595	SRX745164	Medium	73.15	0.51	0	Firmicutes bacterium UBA2595 [phylum]					1742630	48.58458758	479.34	100.0136784	75766	376	179	1756	0.822432186	33300	40510	4433	9735	6881	13926	11	10	8	1	10	11	0.010993	c__Clostridia (UID1085)	35	196	420	UID1108	Terrestial
DDKM00000000	UBA2598	SRX745164	Medium	78.75	1.02	50	Firmicutes bacterium UBA2598 [phylum]					2440742	55.77871729	38.96	99.95187426	15844	155	110	2414	0.885640105	142558	142558	15644	22188	30624	34651	11	3	15	0	28	28	0.012469	c__Clostridia (UID1085)	35	196	420	UID1105	Terrestial
DEOE00000000	UBA2626	SRX823364	Medium	82.85	0.61	0	Anaerococcus sp. UBA2626 [genus]	434	100	Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Anaerococcus;unidentified	HK240396.2.1486	1670262	30.43374495	7.01	72.16405972	6819	155	63	1792	0.868247616	109389	188851	10731	26512	21119	39438	11	1	9	0	11	11	0.004654	o__Clostridiales (UID1125)	128	164	313	UID1142	Built Environment
DENZ00000000	UBA2631	SRX823365	Near complete	94.17	2.45	0	Firmicutes bacterium UBA2631 [phylum]					3574095	35.17479688	20.08	99.93902272	633	85	76	3521	0.891419226	187232	192098	42040	47027	77492	81019	11	5	17	0	38	38	0.00637	o__Clostridiales (UID1120)	304	143	250	UID1126	Built Environment
DEKB00000000	UBA2733	SRX331739	Near complete	97.6	0	0	Acidaminococcus sp. UBA2733 [genus]	916	96.276	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Acidaminococcus;uncultured rumen bacterium	GU303848.1.1520	2284641	55.85994557	26.4	99.91807916	729	95	82	2051	0.866749305	171216	171218	24041	27861	43001	51855	11	1	18	0	48	48	0.005177	o__Selenomonadales (UID1024)	64	167	334	UID1028	Gut
DEDZ00000000	UBA2891	ERX1064485	Medium	87.71	0.69	0	Lachnospiraceae bacterium UBA2891 [family]	333	99.7	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK3A20 group;uncultured rumen bacterium	HQ400289.1.1507	2227501	52.8415925	26.69	99.97242166	30124	399	71	1856	0.844974705	55308	204041	5507	31373	11611	62965	11	3	17	0	31	31	0.013068	f__Lachnospiraceae (UID1255)	90	174	354	UID1287	Gut
DEDH00000000	UBA2909	ERX1064485	Near complete	93.37	0	0	Dialister sp. UBA2909 [genus]					2037703	50.89209021	13.09	98.56367398	22492	335	146	1770	0.8219505	57322	81679	6015	13956	13944	25029	11	2	14	0	28	28	0.000121	p__Firmicutes (UID1022)	100	158	295	UID1065	Gut
DFDD00000000	UBA3036	SRX822217	Near complete	94.17	3.85	0	Firmicutes bacterium UBA3036 [phylum]					3624016	35.37457099	16.95	99.87574331	871	63	56	3457	0.877465773	198204	198206	57510	64714	110915	114237	11	8	18	0	45	45	0.006218	o__Clostridiales (UID1120)	304	143	250	UID1126	Built Environment
DFAQ00000000	UBA3102	SRX993394	Medium	87.73	0.21	0	Pelotomaculum sp. UBA3102 [genus]	558	90.341	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Pelotomaculum;uncultured bacterium	DQ867051.1.1465	1624335	49.49908199	28.71	99.93008569	13792	120	78	1675	0.875767622	64283	83419	13421	20824	20347	31624	11	6	15	0	30	30	0.009571	p__Firmicutes (UID1022)	100	158	295	UID1095	Sediment
DFAP00000000	UBA3103	SRX993394	Medium	78.95	3.51	0	Pelotomaculum sp. UBA3103 [genus]	494	96.327	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Pelotomaculum;uncultured bacterium	AB091325.1.1494	2391592	47.53263936	17.93	99.55980392	13788	191	149	2457	0.850133718	72664	102246	12449	16050	23907	25192	11	5	19	1	41	42	0.009312	k__Bacteria (UID203)	5449	57	103	UID1095	Sediment
DEWH00000000	UBA3215	SRX290720	Medium	78.64	0.22	100	Ruminococcaceae bacterium UBA3215 [family]	358	99.44	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 6;uncultured bacterium	AB821875.1.1502	2457489	49.53165743	39.28	99.9922588	3089	69	30	2186	0.871899325	186298	211147	35571	81916	66271	104104	11	0	16	0	28	28	0.012172	o__Clostridiales (UID1212)	172	149	263	UID1239	Gut
DEWF00000000	UBA3217	SRX290720	Near complete	94.35	0	0	Catabacter sp. UBA3217 [genus]	340	87.791	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured bacterium	GQ138436.1.1399	1420066	49.18983863	27.86	99.99732225	966	27	12	1173	0.911103428	238794	412754	52559	118338	122323	173437	11	0	17	0	29	29	0.027141	c__Clostridia (UID1118)	387	124	223	UID1119	Gut
DEVR00000000	UBA3231	SRX823000	Medium	96.79	5.24	0	Firmicutes bacterium UBA3231 [phylum]					3632025	29.97103229	22.38	99.99000449	395	26	21	3426	0.881300101	713450	713452	139678	172953	268072	385340	11	4	16	0	32	32	0.009639	o__Clostridiales (UID1120)	304	143	250	UID1126	Built Environment
DESE00000000	UBA3322	SRX803753	Medium	87.85	1.9	100	Sutterellaceae bacterium UBA3322 [family]	329	99.696	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;uncultured bacterium	GQ448339.1.1410	1893339	49.58208738	42.01	99.9821848	12922	160	117	1750	0.888226039	70541	70541	11752	16182	22479	29597	11	22	13	0	27	27	0.000146	p__Proteobacteria (UID3887)	1487	158	255	UID4183	Gut
DEQG00000000	UBA3372	ERX222794	Medium	87.29	2.2	0	Salinicoccus sp. UBA3372 [genus]	525	96.727	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Salinicoccus;uncultured bacterium	AY838479.1.1517	2057225	43.49806269	60.62	100.0068573	30183	460	149	2109	0.82525295	39168	90901	4406	13806	7702	16715	11	20	16	0	27	27	0.001036	c__Bacilli (UID285)	586	174	316	UID351	Gut
DFPH00000000	UBA3520	SRX822835	Medium	80.12	1.75	0	Firmicutes bacterium UBA3520 [phylum]					3703527	35.11736922	11.72	97.16209767	3153	104	73	3652	0.875370424	343074	343088	35580	50733	90162	108521	11	16	14	0	28	29	0.006218	o__Clostridiales (UID1120)	304	143	250	UID1126	Built Environment
DFOH00000000	UBA3546	SRX823128	Near complete	90.85	3.05	0	Firmicutes bacterium UBA3546 [phylum]					3863457	33.36508453	15.47	99.70512557	1135	76	65	3641	0.866625667	341659	341665	50820	59437	102600	129484	11	6	14	1	25	26	0.008549	o__Clostridiales (UID1120)	304	142	249	UID1127	Built Environment
DFOA00000000	UBA3553	SRX823120	Near complete	97.67	3.15	0	Firmicutes bacterium UBA3553 [phylum]					4373514	35.41306963	14.9	99.56721245	1854	90	74	4320	0.881044853	344005	344005	48574	59101	97965	128534	11	2	16	0	31	32	0.006218	o__Clostridiales (UID1120)	304	143	250	UID1126	Built Environment
DFNS00000000	UBA3561	SRX742692	Medium	85.74	2.48	33.33	Firmicutes bacterium UBA3561 [phylum]					2078351	63.11788756	46.28	99.42091959	1092	160	153	2062	0.871392753	50841	59637	12982	13583	19115	19115	11	1	16	0	38	38	0.027781	p__Firmicutes (UID239)	1324	101	173	UID1448	Sediment
DFNM00000000	UBA3567	SRX742693	Near complete	96.15	0	0	Firmicutes bacterium UBA3567 [phylum]	434	83.333	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfonatronaceae;Desulfonatronum;uncultured bacterium	DQ088749.1.1601	3111269	39.48665253	26.96	99.73678891	24393	345	274	3024	0.832811628	39210	68978	8947	11354	13421	15695	11	5	17	1	38	39	0.016372	p__Firmicutes (UID240)	1318	104	179	UID1117	Sediment
DFNK00000000	UBA3569	SRX742693	Medium	76.89	0.77	100	Firmicutes bacterium UBA3569 [phylum]					1971426	62.23397554	24.42	99.51822714	10751	252	215	2077	0.880456076	38958	38958	7780	9169	12255	12557	11	47	14	1	28	30	0.024073	p__Firmicutes (UID239)	1324	102	176	UID239	Sediment
DFNJ00000000	UBA3570	SRX742691	Medium	87.29	0.5	0	Firmicutes bacterium UBA3570 [phylum]					2168890	63.01678746	215.75	99.99737004	1558	41	36	2077	0.867374095	266025	266025	52861	60246	91065	91065	11	0	19	0	47	47	0.027781	p__Firmicutes (UID239)	1324	101	173	UID1448	Sediment
DFNH00000000	UBA3572	SRX742691	Near complete	98.41	0	0	Firmicutes bacterium UBA3572 [phylum]					2033475	59.38367621	99.27	99.99576274	3860	51	40	2100	0.865236602	114318	177081	39796	50836	70207	71327	11	0	19	1	43	45	0.006719	p__Firmicutes (UID1022)	100	157	293	UID1101	Sediment
DFNG00000000	UBA3573	SRX742691	Near complete	94.67	0.96	100	Firmicutes bacterium UBA3573 [phylum]					2991232	39.51928898	89.04	99.95194243	34362	367	258	2925	0.819558964	57758	58704	8056	11593	13109	16540	11	7	18	1	42	43	0.016402	p__Firmicutes (UID240)	1318	104	179	UID1117	Sediment
DFNE00000000	UBA3575	SRX742691	Near complete	92.54	2.97	0	Firmicutes bacterium UBA3575 [phylum]					2468025	55.76562354	51.43	99.74766205	23684	223	151	2378	0.834435632	62055	62317	10961	16344	17689	24748	11	1	18	1	38	39	0.021041	p__Firmicutes (UID239)	1324	101	175	UID1447	Sediment
DFND00000000	UBA3576	SRX742691	Medium	79.24	0	0	Firmicutes bacterium UBA3576 [phylum]	1564	86.314	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Caldibacillus;Bacillus thermozeamaize	AY288912.1.1554	1991268	62.86396904	51.89	99.81204572	9403	128	98	1999	0.891500792	71103	71103	15483	20319	24420	32705	11	3	15	1	31	33	0.024099	p__Firmicutes (UID239)	1324	102	176	UID239	Sediment
DFMW00000000	UBA3583	SRX218560	Medium	89.12	2.1	0	Firmicutes bacterium UBA3583 [phylum]					2388284	32.07775636	13.5	97.79849181	9006	210	127	2462	0.88601565	68251	125796	11329	18805	23070	31812	11	10	7	1	11	12	0.011631	o__Clostridiales (UID1120)	304	143	250	UID1126	Terrestial
DFKT00000000	UBA3638	SRX290713	Medium	81	3.14	37.5	Lachnospiraceae bacterium UBA3638 [family]	301	91.216	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;possible genus Sk018;uncultured rumen bacterium	AB555075.1.1478	1944913	47.11757041	19.94	99.90740216	3183	143	112	1742	0.937211073	87582	102995	13578	17365	21344	25531	11	3	11	0	18	18	0.010293	f__Lachnospiraceae (UID1286)	57	207	420	UID1295	Gut
DFKC00000000	UBA3655	SRX290712	Near complete	96.8	0.48	100	Pseudobutyrivibrio sp. UBA3655 [genus]	306	97.394	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio;uncultured rumen bacterium	JX218587.1.1511	2575031	36.18924554	59.05	99.99448318	1084	44	32	2379	0.903493977	252816	252816	58498	80469	98581	146971	11	0	14	0	26	26	0.013807	f__Lachnospiraceae (UID1286)	57	207	420	UID1329	Gut
DFIW00000000	UBA3687	SRX290711	Near complete	95.48	0.31	0	Lachnospiraceae bacterium UBA3687 [family]	414	99.272	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK3A20 group;uncultured bacterium	FJ032568.1.1231	2378884	52.13298434	52.13	99.99587732	1792	53	28	2107	0.914910941	235868	417884	44850	84960	86811	173571	11	0	15	0	33	36	0.009502	f__Lachnospiraceae (UID1255)	90	174	354	UID1287	Gut
DFIJ00000000	UBA3700	SRX290711	Medium	83.23	3.03	0	Catabacter sp. UBA3700 [genus]	340	97.345	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured bacterium	AB824385.1.1488	1791480	32.84795196	20.58	99.6888791	1822	197	179	1739	0.907595396	68225	70960	9084	10008	15499	15499	11	9	16	0	43	49	0.026221	o__Clostridiales (UID1120)	304	143	250	UID1120	Gut
DFHP00000000	UBA3720	SRX290710	Near complete	94.89	2.83	5.56	Eubacterium sp. UBA3720 [genus]	353	98.295	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio;uncultured rumen bacterium	JX218587.1.1511	2705521	46.68071513	53.01	99.95346476	12938	340	210	2468	0.836693191	51969	58197	7919	12883	13653	22930	11	4	15	0	30	31	0.010052	o__Clostridiales (UID1226)	155	157	277	UID1258	Gut
DFHJ00000000	UBA3726	SRX290710	Medium	89.89	2.79	14.29	Anaerovibrio lipolyticus [species]					2043890	44.09992828	30.3	99.92229131	5508	190	143	1915	0.88151515	51704	86251	10728	14292	15451	18778	11	1	16	0	35	35	0.000717	p__Firmicutes (UID1022)	100	158	295	UID1036	Gut
DFHH00000000	UBA3728	SRX290710	Near complete	91.24	2.59	0	Faecalitalea sp. UBA3728 [genus]	961	93.671	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalicoccus;Faecalicoccus pleomorphus DSM 20574	ATUT01000005.67074.68591	1911382	38.08370705	28.4	99.97749614	599	52	45	1982	0.920235202	157181	157181	36745	42475	58346	59251	11	0	19	0	35	35	0.006253	k__Bacteria (UID2372)	131	106	177	UID2385	Gut
DFGY00000000	UBA3738	SRX290710	Near complete	92.53	0.71	0	Firmicutes bacterium UBA3738 [phylum]					2025041	45.70698921	16.73	99.58102623	1764	151	129	1894	0.889068913	84399	93338	13399	15697	20533	22457	11	1	12	0	25	25	0.015019	o__Clostridiales (UID1120)	304	141	247	UID1150	Gut
DFEY00000000	UBA3790	SRX290714	Near complete	95.81	0	0	Lachnospira sp. UBA3790 [genus]	357	100	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] ventriosum group;uncultured bacterium	AB821757.1.1543	1618155	36.65570361	80.59	100.002968	906	13	3	1410	0.926325352	344164	843439	124403	539385	301094	843439	11	0	18	0	38	38	0.012209	o__Clostridiales (UID1212)	172	149	263	UID1248	Gut
DFEX00000000	UBA3791	SRX290714	Medium	80.81	0	0	Ruminococcus flavefaciens [species]	305	99.668	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 1;uncultured bacterium	AB746746.1.1505	2576817	49.16938935	36.96	99.96215923	5516	160	100	2323	0.883402663	92933	136092	16070	25768	26543	38027	11	0	12	0	20	23	0.000415	o__Clostridiales (UID1212)	172	149	263	UID1243	Gut
DFET00000000	UBA3795	SRX290714	Near complete	90.02	0.81	75	Lachnospiraceae bacterium UBA3795 [family]	408	98.759	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae AC2044 group;uncultured rumen bacterium	EU381747.1.1463	2106399	38.3854083	22.74	99.9499666	1805	88	67	1874	0.929914038	112822	112822	23915	31438	43336	54658	11	0	14	0	23	23	0.019752	f__Lachnospiraceae (UID1286)	57	207	420	UID1293	Gut
DFES00000000	UBA3796	SRX290714	Near complete	90.9	3.48	16.67	Selenomonadaceae bacterium UBA3796 [family]					2217855	52.56662481	18.94	99.32994243	6254	295	232	2173	0.909436821	37306	45579	7496	9559	10456	12676	11	1	14	0	32	32	0.007138	p__Firmicutes (UID1022)	100	158	295	UID1036	Gut
DFDZ00000000	UBA3815	SRX290719	Near complete	95.72	0.63	0	Selenomonadales bacterium UBA3815 [order]					2503404	45.16567873	31.18	99.96379984	3415	104	70	2230	0.915674018	116370	144586	24038	35762	39523	52617	11	6	18	0	39	40	0.018403	p__Firmicutes (UID1022)	100	158	295	UID1036	Gut
DGIB00000000	UBA3833	SRX290718	Near complete	95.81	0	0	Lachnospira sp. UBA3833 [genus]	753	100	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] ventriosum group;uncultured bacterium	AB821757.1.1543	1617334	36.65674928	185.65	100.0052577	644	14	5	1409	0.927559799	631916	631916	115477	323466	311107	435415	11	0	15	0	35	36	0.012209	o__Clostridiales (UID1212)	172	149	263	UID1248	Gut
DGHI00000000	UBA3852	SRX290718	Near complete	96.02	0.67	0	Lachnospira sp. UBA3852 [genus]	406	89.951	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus 1;uncultured bacterium	JQ084927.1.1496	1892605	39.7000854	36.59	99.99164554	1400	44	29	1628	0.921968398	158492	175373	42981	65262	67167	88915	11	0	17	0	34	35	0.017018	o__Clostridiales (UID1212)	172	149	263	UID1250	Gut
DGHB00000000	UBA3859	SRX290718	Partial	68.56	0.72	0	Catabacter sp. UBA3859 [genus]	745	93.017	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured Clostridiales bacterium	JN173152.1.1481	1565207	49.169404	21.41	99.95263599	728	25	14	1224	0.909749318	268478	324145	62579	111800	117714	182870	11	0	16	0	41	41	0.027141	o__Thermoanaerobacterales (UID1420)	32	209	488	UID1422	Gut
DGGP00000000	UBA3871	SRX290718	Partial	56.38	0.86	0	Firmicutes bacterium UBA3871 [phylum]					1479472	47.73949778	7.96	81.41428757	1880	205	176	1418	0.912772259	61924	61924	7207	8406	9305	10120	11	1	7	0	9	9	0.016847	k__Bacteria (UID203)	5449	58	103	UID1150	Gut
DGGJ00000000	UBA3877	SRX822743	Near complete	94.51	1.55	100	Leuconostoc citreum [species]	1005	100	Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc;Leuconostoc citreum KM20	DQ489736.432957.434482	1733837	39.01541663	10.19	95.92749765	13617	228	115	1755	0.871591159	48618	57780	7544	15076	11833	22867	11	3	14	0	29	30	0	f__Leuconostocaceae (UID486)	29	178	443	UID500	Built Environment
DGFN00000000	UBA3899	ERX1109759	Near complete	91.27	2.19	0	Firmicutes bacterium UBA3899 [phylum]					2084840	59.44323451	459.17	100.00044	39275	268	100	2062	0.87213839	66034	87768	7632	20848	13241	26747	11	27	18	0	41	41	0.000076	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DGFL00000000	UBA3901	ERX1109759	Partial	69.23	0	0	Firmicutes bacterium UBA3901 [phylum]					1569359	49.79100239	49.68	99.9179803	62404	404	146	1457	0.771646258	58847	73615	3730	10749	7328	15469	11	4	15	0	29	29	0	k__Bacteria (UID238)	2248	78	125	UID238	Bioreactor
DGFK00000000	UBA3902	ERX1109759	Partial	54.85	0.03	0	Firmicutes bacterium UBA3902 [phylum]					1206200	54.12093546	45.03	99.83190452	69941	432	132	1213	0.751287515	22320	65926	2630	9137	4919	13431	11	4	11	0	14	14	0.016015	p__Firmicutes (UID241)	930	118	213	UID1023	Bioreactor
DGFI00000000	UBA3904	ERX1109759	Near complete	91.5	1.27	0	Firmicutes bacterium UBA3904 [phylum]					1892058	56.11630383	23.05	99.83280455	22988	236	129	1912	0.850693795	62065	64373	7919	14667	15376	20316	11	6	17	1	32	35	0	p__Firmicutes (UID241)	930	118	213	UID1022	Bioreactor
DGFG00000000	UBA3906	ERX1109759	Medium	84.59	2.82	25	Firmicutes bacterium UBA3906 [phylum]					1898868	40.83345593	19.8	99.8093486	43125	342	172	1779	0.823164643	25244	40476	5426	11039	7970	14408	11	2	15	0	24	26	0.012356	c__Clostridia (UID1118)	387	124	223	UID1421	Bioreactor
DGFF00000000	UBA3907	ERX1109759	Medium	82.34	0	0	Firmicutes bacterium UBA3907 [phylum]	466	99.784	Bacteria;Firmicutes;Clostridia;D8A-2;uncultured bacterium	EU878314.1.1507	1729345	45.07465955	18.97	99.80184194	30701	272	141	1604	0.842273231	53555	67593	6245	12264	11587	18325	11	7	18	0	35	37	0.012273	p__Firmicutes (UID239)	1324	101	175	UID1447	Bioreactor
DGFD00000000	UBA3909	ERX1109759	Medium	73.08	0.96	0	Tepidanaerobacter sp. UBA3909 [genus]					1887242	42.20579178	14.65	99.12063884	24981	302	183	1928	0.847230509	44617	52232	6166	10312	10060	15102	11	20	13	1	30	31	0.001086	p__Firmicutes (UID240)	1318	104	179	UID1117	Bioreactor
DGFC00000000	UBA3910	ERX1109759	Medium	77.92	3.18	0	Firmicutes bacterium UBA3910 [phylum]					1947816	52.39835522	12.63	98.93074975	23664	312	191	1991	0.884157949	48078	48078	6167	10197	10568	14635	11	21	5	0	7	8	0.009237	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DGEY00000000	UBA3914	ERX1109758	Near complete	93.76	1.98	0	Firmicutes bacterium UBA3914 [phylum]					2148102	59.3762003	646.78	99.99711099	36655	278	102	2115	0.870275248	53262	90317	7595	21059	13283	29761	11	16	19	0	38	38	0.000076	p__Firmicutes (UID241)	930	118	213	UID242	Bioreactor
DGEX00000000	UBA3915	ERX1109758	Partial	55.13	0	0	Firmicutes bacterium UBA3915 [phylum]	1744	99.778	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Gelria;uncultured bacterium	EF559035.1.1503	1173221	49.69268339	329.65	100.0241033	69636	373	81	1144	0.735711345	42827	65842	2958	14484	7117	24837	11	7	18	0	34	34	0	k__Bacteria (UID238)	2248	78	125	UID238	Bioreactor
DGEU00000000	UBA3918	ERX1109758	Medium	87.02	1.92	0	Firmicutes bacterium UBA3918 [phylum]					2236498	53.72430527	116.1	99.98350062	30355	210	61	2101	0.889783492	87507	275196	10505	36663	25661	70346	11	13	16	0	43	43	0	p__Firmicutes (UID240)	1318	104	179	UID240	Bioreactor
DGET00000000	UBA3919	ERX1109758	Near complete	92.16	0.49	0	Firmicutes bacterium UBA3919 [phylum]					2433245	53.55569367	90.91	99.9921318	43880	258	72	2221	0.845913174	98419	191374	9261	33795	22179	51869	11	19	16	0	34	35	0	p__Firmicutes (UID239)	1324	102	176	UID239	Bioreactor
DGES00000000	UBA3920	ERX1109758	Near complete	92.49	0	0	Firmicutes bacterium UBA3920 [phylum]					1827677	34.50418459	86.72	99.97505475	71832	427	134	1683	0.75995868	91271	138951	4112	13639	10285	21393	11	15	19	0	45	45	0.014581	c__Clostridia (UID1118)	387	124	223	UID1421	Bioreactor
DGER00000000	UBA3921	ERX1109758	Medium	74.44	0	0	Tepidanaerobacter sp. UBA3921 [genus]					1821767	42.29989181	80.5	99.97237207	59058	394	141	1799	0.803626918	66079	73475	4473	12920	9394	21872	11	41	16	0	33	34	0.000038	p__Firmicutes (UID240)	1318	104	179	UID1117	Bioreactor
DGEP00000000	UBA3923	ERX1109758	Medium	88.6	0.42	0	Firmicutes bacterium UBA3923 [phylum]					1896637	56.20309728	66.72	99.94076293	32939	264	113	1884	0.839421566	61195	61626	7059	16784	15761	24706	11	5	12	1	19	20	0	p__Firmicutes (UID241)	930	118	213	UID1022	Bioreactor
DGEN00000000	UBA3925	ERX1109758	Medium	89.27	0.99	0	Firmicutes bacterium UBA3925 [phylum]					1731728	53.36125156	60.2	99.98318367	19107	126	37	1584	0.863347477	100916	213963	13592	46803	29647	68467	11	0	17	0	32	33	0	p__Firmicutes (UID239)	1324	101	175	UID1447	Bioreactor
DGEM00000000	UBA3926	ERX1109758	Partial	51.75	0	0	Firmicutes bacterium UBA3926 [phylum]					1309972	45.09293343	48.74	99.95944413	20393	149	58	1252	0.858290864	85088	142220	8654	22585	20486	29356	11	5	14	0	24	25	0	c__Clostridia (UID1118)	387	124	223	UID1421	Bioreactor
